Close,Volume,sentiment
31.85,45799500.0,1.0
32.349998,48519600.0,1.0
32.389999,31169900.0,1.0
34.150002,72786800.0,1.0
33.259998,58522300.0,1.0
31.66,49628500.0,1.0
32.740002,39826100.0,1.0
33.759998,58600500.0,0.0
33.720001,53209700.0,0.5
37.200001,53277500.0,0.0
37.080002,32229900.0,0.0
38.310001,52109800.0,0.0
38.939999,51983600.0,1.0
36.52,45687700.0,0.5
36.25,34160100.0,0.0
36.169998,31567300.0,1.0
36.810001,76395500.0,1.0
36.66,52745900.0,1.0
37.470001,27051800.0,1.0
37.610001,37635500.0,0.0
37.419998,32834000.0,0.0
37.509998,29750400.0,0.0
37.98,38021300.0,1.0
37.689999,32085100.0,0.0
37.860001,33903400.0,0.0
38.150002,23582200.0,1.0
37.82,19006600.0,0.0
38.27,30494100.0,0.5
39.27,35597200.0,1.0
40.330002,59269800.0,0.0
40.34,43193100.0,1.0
39.790001,41977500.0,0.5
41.419998,32605000.0,0.0
39.869999,51409600.0,1.0
40.470001,27398700.0,1.0
40.009998,36688400.0,1.0
39.689999,24602800.0,0.8
39.970001,22782600.0,1.0
40.349998,22398700.0,1.0
40.119999,18020000.0,1.0
40.189999,26160600.0,1.0
40.790001,18504300.0,1.0
40.860001,18040000.0,0.0
41.509998,19828200.0,1.0
41.75,26509100.0,0.0
42.25,74640000.0,1.0
41.700001,30793100.0,0.5
41.869999,26917000.0,0.6666666666666666
41.900002,20208100.0,0.0
41.799999,15969300.0,1.0
41.779999,31218200.0,0.5
41.669998,18445900.0,1.0
41.689999,21854700.0,1.0
42.09,24083000.0,1.0
42.139999,21881100.0,1.0
42.450001,28748700.0,0.8
44.080002,63318000.0,1.0
44.529999,82180300.0,0.6666666666666666
44.830002,43095800.0,1.0
44.869999,52362900.0,1.0
44.400002,30725300.0,0.25
44.5,26737700.0,1.0
43.970001,29684200.0,1.0
43.889999,27763100.0,1.0
43.580002,31921400.0,0.0
43.369999,34277400.0,0.0
42.740002,24634000.0,1.0
43.23,30314900.0,0.0
43.200001,28942700.0,0.0
43.200001,20351600.0,0.0
43.52,21431100.0,0.0
44.080002,22889500.0,1.0
45.220001,22285500.0,0.0
45.150002,18294500.0,0.0
45.169998,16910000.0,1.0
45.009998,14873100.0,1.0
44.869999,21287900.0,1.0
44.880001,17657600.0,1.0
45.09,22976800.0,0.5
44.959999,33684500.0,1.0
45.259998,26475500.0,0.6666666666666666
45.91,36939400.0,0.5
46.470001,45736700.0,0.5
46.68,35556600.0,0.0
47.060001,38686100.0,1.0
46.560001,33430300.0,1.0
47.080002,26582700.0,1.0
46.040001000000004,33077400.0,0.5714285714285714
46.41,27078800.0,0.0
46.439999,26091000.0,0.6666666666666666
46.36000099999999,33033100.0,0.3333333333333333
45.900002,38088400.0,1.0
45.759998,25119400.0,0.5
46.09,20604000.0,1.0
44.029999,51978100.0,0.0
43.650002,37100200.0,1.0
44.880001,36433800.0,0.5
44.380001,33570900.0,0.5
45.02,45451900.0,0.0
46.490002,29049800.0,0.0
46.950001,35849700.0,0.0
47.57,21530800.0,1.0
47.860001,22449600.0,0.5
48.889999,36370100.0,1.0
48.869999,23445200.0,0.6666666666666666
48.779999,22722100.0,1.0
49.580002,29081700.0,1.0
49.459999,30318600.0,1.0
48.740002,23995500.0,0.6666666666666666
48.220001,26177500.0,1.0
48.700001,21510600.0,0.0
47.98,42884800.0,1.0
47.75,27163600.0,0.5
48.419998,27313400.0,1.0
47.700001,26663100.0,0.0
47.59,24330500.0,0.0
46.900002,30431800.0,0.0
47.169998,29060400.0,0.5
46.669998,29247800.0,0.5
45.16,47801400.0,0.0
45.740002,34970900.0,1.0
47.66,64551200.0,1.0
47.98,26566000.0,1.0
48.450001,23648100.0,1.0
48.139999,11437800.0,1.0
46.450001,21552500.0,0.0
45.650002,36447900.0,0.3333333333333333
46.23,29114100.0,0.0
47.189999,23944200.0,0.0
46.360001,35270600.0,1.0
45.48,32750800.0,1.0
46.240002,35695300.0,1.0
45.919998,39081100.0,0.5
47.130001,35898000.0,1.0
42.66,169164000.0,1.0
41.189999,84507100.0,0.6666666666666666
42.009998,63585300.0,0.5
40.400002,78004900.0,0.5
41.279999,50352500.0,1.0
41.84,41614800.0,1.0
42.380001,38262500.0,0.3333333333333333
43.09,33268800.0,1.0
43.869999,40264900.0,1.0
43.529999,27111700.0,0.6666666666666666
43.860001,29721100.0,1.0
44.09,25271700.0,1.0
43.990002,29759800.0,0.0
44.060001,28957300.0,1.0
43.849998,33807700.0,0.0
43.880001,31924000.0,0.5
43.060001,25748700.0,0.5
43.11000099999999,23193500.0,0.6666666666666666
42.849998,32108000.0,0.0
42.029999,39159700.0,1.0
41.98,32215300.0,1.0
41.560001,35273500.0,1.0
42.5,44194800.0,0.6666666666666666
42.900002,25513300.0,0.0
41.209999,37495600.0,0.0
40.970001,34401400.0,1.0
40.959999,35049700.0,0.6666666666666666
40.66,34887200.0,0.0
40.290001,37487500.0,0.0
41.529999,28809400.0,1.0
41.419998,24753400.0,0.0
41.720001,28022000.0,0.0
41.759998,30276700.0,0.0
41.650002,24244400.0,1.0
42.16,22509700.0,0.0
41.619999,42387600.0,0.5
42.990002,25064300.0,1.0
43.34,46309500.0,0.75
48.029999,59248200.0,1.0
49.060001,47804600.0,1.0
48.639999,64725500.0,0.5
48.240002,34039500.0,1.0
47.599998,50369200.0,0.0
46.279999,52433000.0,0.0
46.700001,32971700.0,0.0
47.369999,24609400.0,1.0
47.349998,29928300.0,0.0
47.630001,34184600.0,1.0
48.299999,28642700.0,1.0
48.009998,24136500.0,0.5
47.580002,28574800.0,0.0
47.419998,22410700.0,0.0
46.900002,25720600.0,1.0
46.59,29581900.0,0.0
47.610001,27335600.0,0.0
47.450001,19283700.0,1.0
46.860001,36519600.0,0.0
47.23,28837300.0,0.0
46.919998,21498300.0,0.5
46.849998,28002200.0,0.0
46.360001,27745500.0,0.0
46.139999,25438100.0,0.5
45.73,22121600.0,0.5
45.650002,24406100.0,1.0
46.610001,28417400.0,0.5
46.439999,27347800.0,1.0
45.970001,23931000.0,0.0
45.48,33254500.0,0.75
45.830002,27070300.0,0.3333333333333333
45.970001,28704100.0,1.0
46.720001,32658300.0,0.5
45.91,25896500.0,0.25
45.639999,34890900.0,0.0
45.259998,49835300.0,1.0
44.369999,34081700.0,0.6666666666666666
44.150002,35945400.0,0.0
44.45000100000001,28343900.0,0.3333333333333333
44.389999,23034000.0,0.0
44.240002,39785900.0,0.75
44.61000099999999,25465800.0,0.6666666666666666
45.540001,28178300.0,1.0
45.619999,22880300.0,0.6666666666666666
45.759998,26629600.0,0.0
46.66,26271700.0,0.0
46.619999,29467100.0,1.0
46.919998,30631900.0,1.0
47.279999,42781900.0,0.5
45.540001,59152400.0,0.3333333333333333
46.110001,33934000.0,1.0
45.939999,32333200.0,0.6666666666666666
45.349998,39701400.0,1.0
45.34,34328900.0,0.5
46.290001,40945900.0,0.6666666666666666
46.880001,39777900.0,0.6
46.810001,24125900.0,0.0
47.580002,26959700.0,1.0
46.619999,27368000.0,0.0
46.740002,19163000.0,0.0
47.330002,23079900.0,0.6666666666666666
46.740002,30181400.0,0.5
47.0,21473400.0,1.0
47.32,21099700.0,0.5
46.610001,31485500.0,1.0
45.66,36238200.0,1.0
43.07,70053100.0,0.6666666666666666
41.68,88753700.0,0.0
40.470001,70616600.0,0.5
43.900002,50943200.0,1.0
43.52,34441700.0,0.5
43.36000099999999,37671500.0,1.0
43.5,28285200.0,1.0
42.610001,37138800.0,0.5
43.889999,32469800.0,1.0
43.07,33469500.0,1.0
43.48,27132500.0,1.0
43.040001,23656000.0,0.3333333333333333
43.98,28882200.0,0.6666666666666666
44.299999,23372200.0,0.0
44.25,32768200.0,0.5
43.48,63143700.0,0.5
43.900002,28085900.0,0.0
