Date,Close,Volume,anger,fear,negative,positive,sadness,trust,anticipation,joy,disgust,surprise,anticip,word_count
2016-03-22,32.32,22200400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2016-03-29,32.380001,15313200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2016-03-31,32.349998,17880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2016-04-05,31.9,20080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5
2016-04-06,32.080002,15740600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-04-08,31.629999,17031900.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,15.0
2016-04-11,31.67,19707700.0,0.0,0.01785714285714285,0.0089285714285714,0.0089285714285714,0.0,0.0089285714285714,0.01785714285714285,0.0,0.0,0.0,0.0,9.0
2016-04-12,31.860001,16774200.0,0.0,0.0,0.003787878787878775,0.003787878787878775,0.0,0.01136363636363635,0.003787878787878775,0.0,0.0,0.0,0.0,15.75
2016-04-13,32.130001,19968100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2016-04-14,31.799999,21620900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
2016-04-18,31.65,21566600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2016-04-19,31.6,33619300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
2016-04-20,32.0,57629800.0,0.002777777777777778,0.0004409171075837722,0.008878467211800538,0.0008818342151675444,0.0016835016835016834,0.0022927689594356222,0.0004409171075837722,0.0004409171075837722,0.0,0.0004409171075837722,0.0,11.722222222222221
2016-04-21,31.969999,28431400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2016-04-22,31.639999,29625600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
2016-04-25,31.389999,19315700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2016-04-27,31.75,20006200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2016-04-28,31.110001,25146400.0,0.0,0.0,0.01666666666666665,0.0,0.0083333333333333,0.0083333333333333,0.0,0.0,0.0,0.0,0.0,12.0
2016-04-29,30.280001,36443700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2016-05-02,30.610001,21086600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-05-03,30.360001,27111100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
2016-05-04,29.85,23278800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
